name,lng,lat
辽宁.六零六站,121.624364,38.921675
辽宁.柳林站,121.650891,38.921326
辽宁.岭南站,123.496405,41.745245
辽宁.李石寨站,123.733969,41.823573
辽宁.柳树站,124.3933006,40.13792191
辽宁.凌水站,121.5287082,38.88265468
辽宁.浪头站,124.341208,40.04631
辽宁.龙王站,121.701575,39.140272
东北.辽阳站,123.1724512,41.27333927
辽宁.凌源站,119.2715431,40.98180113
辽宁.闾阳站,121.68306,41.386674
辽宁.马场站,119.714341,42.082604
辽宁.镁都站,122.554131,40.61749
辽宁.马道岭站,123.612232,40.157526
辽宁.女儿河站,121.1588993,41.0942728
辽宁.南芬站,123.8278801,41.12271622
东北.南关岭站,121.6041059,39.02272638
辽宁.宁官站,123.2843575,41.76358234
辽宁.牛岗站,123.071432,42.034662
辽宁.能港厂,124.102909,41.932564
辽宁.南票厂,120.6646451,41.13703578
辽宁.南山站,120.54557,40.613379
辽宁.宁远屯站,122.9188844,41.11081283
辽宁.牛庄站,122.524451,40.940456
辽宁.平安站,122.109671,40.219202
东北.蒲河站,123.60524,41.958902
辽宁.普兰店站,122.2160395,39.65179283
辽宁.蟠龙站,121.250901,38.854077
辽宁.盘山站,121.9521656,41.19347507
东北.蒲石河水厂,124.689242,40.45944382
辽宁.青堆子站,123.2907535,41.99378092
辽宁.桥东站,124.171979,39.891877
辽宁.前杠站,123.010354,41.201285
辽宁.清河厂,124.2757802,42.50855705
辽宁.祁家站,123.139227,41.29857
辽宁.前牧站,121.444798,39.00086144
辽宁.乾武站,123.954025,41.888975
辽宁.顺城站,123.9017236,41.91601413
东北.沈东站,123.568261,41.810041
辽宁.曙光站,123.3094126,42.0344984
东北.沙河营站,123.410907,41.591867
辽宁.沈海厂,123.504363,41.821255
辽宁.孙家站,123.61138,41.994718
辽宁.苏家屯热厂,123.4262891,41.58934516
东北.沙岭站,123.2142977,41.79709469
辽宁.胜利站,123.411452,41.801362
辽宁.双岭水厂,124.717527,40.699301
辽宁.水泉站,123.837508,39.995446
辽宁.松树站,124.13305,40.726456
辽宁.首山站,123.076285,41.228716
辽宁.上善站,121.78725,39.034304
辽宁.双台子站,122.0320384,41.19322451
辽宁.松涛站,122.732903,41.516636
辽宁.沈西热厂,123.244949,41.798272
辽宁.顺阳站,121.665961,38.92434
辽宁.绥中站,120.0263017,40.30512901
东北.绥中厂,120.0263017,40.30512901
辽宁.佟二堡站,123.054321,41.447924
辽宁.天河站,121.585275,38.991403
辽宁.佟家站,122.1216137,40.82723679
辽宁.铁岭站,123.8548496,42.29975701
辽宁.铁岭厂,123.8548496,42.29975701
华北.天马站,119.253314,39.9857
辽宁.太平哨水厂,125.171491,40.878947
辽宁.团山站,121.341231,38.967143
辽宁.泰山火厂,122.364757,39.778648
辽宁.驼山风电场,120.6258374,41.58379132
东北.太平湾厂,124.707052,40.346319
